place_state_name,scientific_name,counts
São Paulo,Callithrix penicillata,1096
Rio de Janeiro,Callithrix jacchus,834
Minas Gerais,Callithrix penicillata,710
São Paulo,Callithrix jacchus,535
Espírito Santo,Callithrix geoffroyi,442
São Paulo,Callithrix jacchus × penicillata,327
São Paulo,Callithrix,268
Rio de Janeiro,Callithrix jacchus × penicillata,260
Rio de Janeiro,Callithrix,200
Rio de Janeiro,Callithrix penicillata,183
São Paulo,Callithrix aurita,154
Minas Gerais,Callithrix geoffroyi,106
Minas Gerais,Callithrix,95
Minas Gerais,Callithrix aurita,76
Espírito Santo,Callithrix,60
Rio de Janeiro,Callithrix aurita,49
Espírito Santo,Callithrix flaviceps,37
Minas Gerais,Callithrix jacchus × penicillata,19
Minas Gerais,Callithrix flaviceps,11
Espírito Santo,Callithrix penicillata,11
Minas Gerais,Callithrix jacchus,9
Minas Gerais,Callithrix kuhlii,2
Rio de Janeiro,Callithrix flaviceps,1
Espírito Santo,Callithrix jacchus × penicillata,1
São Paulo,Callithrix kuhlii,1
Espírito Santo,Callithrix jacchus,1
